"filename", "language", "PHP", "comment", "blank", "total"
"d:\桌面\works_pro\app\home\view\account\login.php", "PHP", 112, 3, 8, 123
"d:\桌面\works_pro\app\home\view\dis_work\display.php", "PHP", 75, 1, 7, 83
"d:\桌面\works_pro\app\home\view\dis_work\index.php", "PHP", 63, 1, 7, 71
"d:\桌面\works_pro\app\home\view\dis_work\remarks.php", "PHP", 99, 0, 8, 107
"d:\桌面\works_pro\app\home\view\home\index.php", "PHP", 59, 0, 1, 60
"d:\桌面\works_pro\app\home\view\layout.php", "PHP", 82, 0, 10, 92
"d:\桌面\works_pro\app\home\view\public\footer.php", "PHP", 51, 0, 2, 53
"d:\桌面\works_pro\app\home\view\public\header.php", "PHP", 56, 2, 10, 68
"d:\桌面\works_pro\app\home\view\up_work\details.php", "PHP", 229, 8, 19, 256
"d:\桌面\works_pro\app\home\view\up_work\index.php", "PHP", 70, 1, 7, 78
"d:\桌面\works_pro\app\middleware.php", "PHP", 4, 6, 1, 11
"d:\桌面\works_pro\app\provider.php", "PHP", 7, 1, 2, 10
"d:\桌面\works_pro\app\service.php", "PHP", 5, 2, 3, 10
"Total", "-", 5132, 749, 813, 6694
