Date : 2023-12-07 22:55:26
Directory : d:\桌面\works_pro\app
Total : 88 files,  5679 codes, 832 comments, 917 blanks, all 7428 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| PHP      |         88 |      5,679 |        832 |        917 |      7,428 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                   | files      | code       | comment    | blank      | total      |
| d:\桌面\works_pro\app\common\business\admin\Work.php     | PHP      |         70 |         14 |         13 |         97 |
| d:\桌面\works_pro\app\common\business\common\Common.php  | PHP      |          5 |          3 |          4 |         12 |
| d:\桌面\works_pro\app\common\business\home\Account.php   | PHP      |         97 |         19 |         24 |        140 |
| d:\桌面\works_pro\app\common\business\home\DisWork.php   | PHP      |         61 |         10 |         14 |         85 |
| d:\桌面\works_pro\app\common\business\home\UpWork.php    | PHP      |        113 |         25 |         31 |        169 |
| d:\桌面\works_pro\app\common\model\Admin.php             | PHP      |         25 |         12 |          9 |         46 |
| d:\桌面\works_pro\app\common\model\AdminIp.php           | PHP      |         11 |          3 |          6 |         20 |
| d:\桌面\works_pro\app\common\model\Classes.php           | PHP      |         27 |         15 |         11 |         53 |
| d:\桌面\works_pro\app\common\model\IsWork.php            | PHP      |         57 |         26 |         13 |         96 |
| d:\桌面\works_pro\app\common\model\Score.php             | PHP      |         70 |         27 |         14 |        111 |
| d:\桌面\works_pro\app\common\model\Stu.php               | PHP      |         62 |         28 |         14 |        104 |
| d:\桌面\works_pro\app\common\model\StuIp.php             | PHP      |         11 |          3 |          6 |         20 |
| d:\桌面\works_pro\app\common\model\Work.php              | PHP      |         49 |         26 |         14 |         89 |
| d:\桌面\works_pro\app\common\model\Works.php             | PHP      |         60 |         31 |         17 |        108 |
| d:\桌面\works_pro\app\common\validate\admin\Admin.php    | PHP      |         35 |         18 |          7 |         60 |
| d:\桌面\works_pro\app\common\validate\admin\Classes.php  | PHP      |         29 |         18 |          5 |         52 |
| d:\桌面\works_pro\app\common\validate\admin\Stu.php      | PHP      |         29 |         18 |          4 |         51 |
| d:\桌面\works_pro\app\common\validate\admin\Work.php     | PHP      |         27 |         18 |          4 |         49 |
| d:\桌面\works_pro\app\common\validate\home\DoLogin.php   | PHP      |         23 |         18 |          5 |         46 |
| d:\桌面\works_pro\app\event.php                          | PHP      |         14 |          1 |          3 |         18 |
| d:\桌面\works_pro\app\home\controller\Account.php        | PHP      |         67 |         21 |         17 |        105 |
| d:\桌面\works_pro\app\home\controller\Base.php           | PHP      |         23 |          7 |          7 |         37 |
| d:\桌面\works_pro\app\home\controller\DisWork.php        | PHP      |         85 |          6 |         24 |        115 |
| d:\桌面\works_pro\app\home\controller\Home.php           | PHP      |         26 |          4 |          9 |         39 |
| d:\桌面\works_pro\app\home\controller\UpWork.php         | PHP      |        159 |         13 |         33 |        205 |
| d:\桌面\works_pro\app\home\middleware.php                | PHP      |          5 |          7 |          1 |         13 |
| d:\桌面\works_pro\app\home\middleware\Auth.php           | PHP      |         36 |          5 |         13 |         54 |
| d:\桌面\works_pro\app\home\route\AccountRoute.php        | PHP      |          5 |          3 |          2 |         10 |
| d:\桌面\works_pro\app\home\route\BaseRoute.php           | PHP      |          3 |          3 |          3 |          9 |
| d:\桌面\works_pro\app\home\route\DisWorkRoute.php        | PHP      |          5 |          3 |          3 |         11 |
| d:\桌面\works_pro\app\home\route\HomeRoute.php           | PHP      |          3 |          3 |          3 |          9 |
| d:\桌面\works_pro\app\home\route\UpWorkRoute.php         | PHP      |          7 |          3 |          3 |         13 |
| d:\桌面\works_pro\app\home\view\account\login.php        | PHP      |        112 |          3 |          8 |        123 |
| d:\桌面\works_pro\app\home\view\dis_work\display.php     | PHP      |         81 |          1 |          7 |         89 |
| d:\桌面\works_pro\app\home\view\dis_work\index.php       | PHP      |         64 |          1 |          7 |         72 |
| d:\桌面\works_pro\app\home\view\dis_work\remarks.php     | PHP      |         99 |          0 |          8 |        107 |
| d:\桌面\works_pro\app\home\view\home\index.php           | PHP      |         59 |          0 |          1 |         60 |
| d:\桌面\works_pro\app\home\view\layout.php               | PHP      |         82 |          0 |         10 |         92 |
| d:\桌面\works_pro\app\home\view\public\footer.php        | PHP      |         51 |          0 |          2 |         53 |
| d:\桌面\works_pro\app\home\view\public\header.php        | PHP      |         56 |          2 |         10 |         68 |
| d:\桌面\works_pro\app\home\view\up_work\details.php      | PHP      |        246 |          8 |         19 |        273 |
| d:\桌面\works_pro\app\home\view\up_work\index.php        | PHP      |         70 |          1 |          7 |         78 |
| d:\桌面\works_pro\app\middleware.php                     | PHP      |          4 |          6 |          1 |         11 |
| d:\桌面\works_pro\app\provider.php                       | PHP      |          7 |          1 |          2 |         10 |
| d:\桌面\works_pro\app\service.php                        | PHP      |          5 |          2 |          3 |         10 |
| Total                                                  |          |      5,679 |        832 |        917 |      7,428 |
+--------------------------------------------------------+----------+------------+------------+------------+------------+
